state,color
Alaska,blue
Alabama,blue
Arkansas,blue
American Samoa,blue
Arizona,blue
California,blue
Colorado,blue
Connecticut,blue
District of Columbia,blue
Delaware,blue
Florida,blue
Georgia,blue
Guam,blue
Hawaii,blue
Iowa,blue
Idaho,blue
Illinois,blue
Indiana,blue
Kansas,blue
Kentucky,blue
Louisiana,blue
Massachusetts,blue
Maryland,blue
Maine,blue
Michigan,blue
Minnesota,blue
Missouri,blue
Mississippi,blue
Montana,blue
North Carolina,blue
North Dakota,blue
Nebraska,blue
New Hampshire,blue
New Jersey,blue
New Mexico,blue
Nevada,blue
New York,blue
Ohio,blue
Oklahoma,blue
Oregon,blue
Pennsylvania,blue
Puerto Rico,blue
Rhode Island,blue
South Carolina,blue
South Dakota,blue
Tennessee,blue
Texas,blue
Utah,blue
Virginia,blue
Virgin Islands,blue
Vermont,blue
Washington,blue
Wisconsin,blue
West Virginia,blue
Wyoming,blue
