state,date,new_cases,avg_cases,new_deaths,avg_deaths
California,2020-03-12,,,,
California,2020-03-13,45.0,,0.0,
California,2020-03-14,77.0,,1.0,
California,2020-03-15,67.0,,1.0,
California,2020-03-16,133.0,,1.0,
California,2020-03-17,151.0,,5.0,
California,2020-03-18,142.0,,4.0,
California,2020-03-19,162.0,,3.0,
California,2020-03-20,199.0,133.0,4.0,3.0
California,2020-03-21,185.0,149.0,1.0,2.0
California,2020-03-22,366.0,191.0,10.0,4.0
California,2020-03-23,380.0,226.0,6.0,5.0
California,2020-03-24,435.0,267.0,11.0,6.0
California,2020-03-25,434.0,309.0,14.0,7.0
California,2020-03-26,1021.0,431.0,17.0,9.0
California,2020-03-27,779.0,515.0,12.0,10.0
California,2020-03-28,761.0,596.0,25.0,13.0
California,2020-03-29,658.0,639.0,12.0,14.0
California,2020-03-30,1049.0,733.0,14.0,15.0
California,2020-03-31,1261.0,852.0,35.0,19.0
California,2020-04-01,1309.0,977.0,30.0,20.0
California,2020-04-02,1035.0,979.0,24.0,22.0
California,2020-04-03,1435.0,1073.0,41.0,26.0
California,2020-04-04,1388.0,1162.0,44.0,28.0
California,2020-04-05,1394.0,1267.0,28.0,31.0
California,2020-04-06,986.0,1258.0,33.0,34.0
California,2020-04-07,1447.0,1285.0,54.0,36.0
California,2020-04-08,1376.0,1295.0,64.0,41.0
California,2020-04-09,1146.0,1310.0,61.0,47.0
California,2020-04-10,1107.0,1263.0,25.0,44.0
California,2020-04-11,1105.0,1223.0,46.0,44.0
California,2020-04-12,1008.0,1168.0,44.0,47.0
California,2020-04-13,966.0,1165.0,53.0,50.0
California,2020-04-14,1403.0,1159.0,55.0,49.0
California,2020-04-15,1308.0,1149.0,82.0,53.0
California,2020-04-16,799.0,1099.0,87.0,56.0
California,2020-04-17,1548.0,1163.0,90.0,65.0
California,2020-04-18,1550.0,1226.0,106.0,74.0
California,2020-04-19,715.0,1184.0,28.0,71.0
California,2020-04-20,2266.0,1370.0,48.0,71.0
California,2020-04-21,1966.0,1450.0,75.0,74.0
California,2020-04-22,1707.0,1507.0,121.0,79.0
California,2020-04-23,1953.0,1672.0,104.0,82.0
California,2020-04-24,1531.0,1670.0,71.0,79.0
California,2020-04-25,1546.0,1669.0,92.0,77.0
California,2020-04-26,1195.0,1738.0,32.0,77.0
California,2020-04-27,1471.0,1624.0,58.0,79.0
California,2020-04-28,1162.0,1509.0,86.0,81.0
California,2020-04-29,2412.0,1610.0,77.0,74.0
California,2020-04-30,1571.0,1556.0,90.0,73.0
California,2020-05-01,1653.0,1573.0,82.0,73.0
California,2020-05-02,1839.0,1614.0,77.0,72.0
California,2020-05-03,1258.0,1624.0,24.0,71.0
California,2020-05-04,1235.0,1590.0,71.0,72.0
California,2020-05-05,2547.0,1788.0,93.0,74.0
California,2020-05-06,1887.0,1713.0,76.0,73.0
California,2020-05-07,1754.0,1739.0,83.0,72.0
California,2020-05-08,1865.0,1769.0,92.0,74.0
California,2020-05-09,2591.0,1877.0,64.0,72.0
California,2020-05-10,1235.0,1873.0,26.0,72.0
California,2020-05-11,1292.0,1882.0,61.0,71.0
California,2020-05-12,1743.0,1767.0,98.0,71.0
California,2020-05-13,1976.0,1779.0,90.0,73.0
California,2020-05-14,1888.0,1799.0,82.0,74.0
California,2020-05-15,2043.0,1824.0,105.0,75.0
California,2020-05-16,1874.0,1721.0,55.0,74.0
California,2020-05-17,1587.0,1772.0,81.0,81.0
California,2020-05-18,1452.0,1795.0,32.0,78.0
California,2020-05-19,2102.0,1846.0,104.0,78.0
California,2020-05-20,2090.0,1862.0,87.0,78.0
California,2020-05-21,2326.0,1925.0,107.0,82.0
California,2020-05-22,2397.0,1975.0,69.0,76.0
California,2020-05-23,1955.0,1987.0,71.0,79.0
California,2020-05-24,1959.0,2040.0,31.0,72.0
California,2020-05-25,2392.0,2175.0,19.0,69.0
California,2020-05-26,2921.0,2291.0,43.0,61.0
California,2020-05-27,1787.0,2248.0,103.0,64.0
California,2020-05-28,2252.0,2238.0,84.0,60.0
California,2020-05-29,2960.0,2318.0,98.0,64.0
California,2020-05-30,3153.0,2489.0,76.0,65.0
California,2020-05-31,2713.0,2597.0,27.0,64.0
California,2020-06-01,2546.0,2619.0,47.0,68.0
California,2020-06-02,2855.0,2609.0,73.0,73.0
California,2020-06-03,2308.0,2684.0,61.0,66.0
California,2020-06-04,2559.0,2728.0,63.0,64.0
California,2020-06-05,3616.0,2821.0,74.0,60.0
California,2020-06-06,2550.0,2736.0,66.0,59.0
California,2020-06-07,2775.0,2744.0,29.0,59.0
California,2020-06-08,2289.0,2707.0,23.0,55.0
California,2020-06-09,3058.0,2737.0,96.0,59.0
California,2020-06-10,2910.0,2822.0,98.0,64.0
California,2020-06-11,3590.0,2970.0,71.0,66.0
California,2020-06-12,3643.0,2973.0,47.0,61.0
California,2020-06-13,3149.0,3059.0,74.0,63.0
California,2020-06-14,2626.0,3038.0,27.0,62.0
California,2020-06-15,2731.0,3101.0,30.0,63.0
California,2020-06-16,3455.0,3158.0,86.0,62.0
California,2020-06-17,4197.0,3342.0,81.0,60.0
California,2020-06-18,3803.0,3372.0,76.0,60.0
California,2020-06-19,3624.0,3369.0,65.0,62.0
California,2020-06-20,4382.0,3545.0,67.0,62.0
California,2020-06-21,3605.0,3686.0,24.0,61.0
California,2020-06-22,5552.0,4088.0,48.0,64.0
California,2020-06-23,6531.0,4528.0,69.0,62.0
California,2020-06-24,4988.0,4640.0,97.0,63.0
California,2020-06-25,5464.0,4878.0,81.0,65.0
California,2020-06-26,5643.0,5167.0,64.0,64.0
California,2020-06-27,4244.0,5146.0,33.0,60.0
California,2020-06-28,5263.0,5384.0,32.0,60.0
California,2020-06-29,6926.0,5580.0,42.0,60.0
California,2020-06-30,7939.0,5781.0,105.0,65.0
California,2020-07-01,7761.0,6177.0,84.0,63.0
California,2020-07-02,9439.0,6745.0,99.0,65.0
California,2020-07-03,8516.0,7155.0,63.0,66.0
California,2020-07-04,8355.0,7743.0,29.0,65.0
California,2020-07-05,6027.0,7852.0,19.0,63.0
California,2020-07-06,6891.0,7847.0,77.0,68.0
California,2020-07-07,8631.0,7946.0,119.0,70.0
California,2020-07-08,8561.0,8060.0,151.0,79.0
California,2020-07-09,7248.0,7747.0,138.0,85.0
California,2020-07-10,8781.0,7784.0,103.0,91.0
California,2020-07-11,7881.0,7718.0,75.0,98.0
California,2020-07-12,7702.0,7956.0,26.0,98.0
California,2020-07-13,8350.0,8165.0,46.0,94.0
California,2020-07-14,9561.0,8298.0,139.0,97.0
California,2020-07-15,9687.0,8458.0,126.0,93.0
California,2020-07-16,9269.0,8747.0,128.0,92.0
California,2020-07-17,9608.0,8866.0,122.0,95.0
California,2020-07-18,8806.0,8997.0,92.0,97.0
California,2020-07-19,8116.0,9057.0,12.0,95.0
California,2020-07-20,8814.0,9123.0,57.0,96.0
California,2020-07-21,10278.0,9226.0,120.0,94.0
California,2020-07-22,12137.0,9575.0,156.0,98.0
California,2020-07-23,10476.0,9748.0,157.0,102.0
California,2020-07-24,11022.0,9950.0,135.0,105.0
California,2020-07-25,10985.0,10261.0,91.0,104.0
California,2020-07-26,6449.0,10023.0,27.0,106.0
California,2020-07-27,7630.0,9854.0,93.0,111.0
California,2020-07-28,7994.0,9527.0,169.0,118.0
California,2020-07-29,8988.0,9078.0,175.0,121.0
California,2020-07-30,8174.0,8749.0,114.0,115.0
California,2020-07-31,7878.0,8300.0,191.0,123.0
California,2020-08-01,7382.0,7785.0,137.0,129.0
California,2020-08-02,6395.0,7777.0,38.0,131.0
California,2020-08-03,6344.0,7593.0,109.0,134.0
California,2020-08-04,5156.0,7189.0,197.0,137.0
California,2020-08-05,5559.0,6698.0,169.0,136.0
California,2020-08-06,8505.0,6745.0,149.0,142.0
California,2020-08-07,7904.0,6750.0,188.0,141.0
California,2020-08-08,7031.0,6699.0,104.0,136.0
California,2020-08-09,6836.0,6762.0,67.0,141.0
California,2020-08-10,10752.0,7392.0,88.0,137.0
California,2020-08-11,11945.0,8362.0,182.0,135.0
California,2020-08-12,9090.0,8866.0,160.0,134.0
California,2020-08-13,7876.0,8776.0,186.0,140.0
Florida,2020-03-12,,,,
Florida,2020-03-13,15.0,,0.0,
Florida,2020-03-14,26.0,,1.0,
Florida,2020-03-15,39.0,,1.0,
Florida,2020-03-16,45.0,,1.0,
Florida,2020-03-17,57.0,,1.0,
Florida,2020-03-18,111.0,,2.0,
Florida,2020-03-19,89.0,,1.0,
Florida,2020-03-20,146.0,73.0,2.0,2.0
Florida,2020-03-21,96.0,83.0,1.0,1.0
Florida,2020-03-22,348.0,128.0,1.0,1.0
Florida,2020-03-23,220.0,152.0,5.0,2.0
Florida,2020-03-24,240.0,179.0,2.0,2.0
Florida,2020-03-25,510.0,235.0,3.0,2.0
Florida,2020-03-26,507.0,296.0,6.0,3.0
Florida,2020-03-27,714.0,376.0,17.0,5.0
Florida,2020-03-28,840.0,483.0,10.0,6.0
Florida,2020-03-29,912.0,563.0,4.0,7.0
Florida,2020-03-30,754.0,640.0,11.0,8.0
Florida,2020-03-31,1037.0,753.0,14.0,9.0
Florida,2020-04-01,1032.0,828.0,16.0,11.0
Florida,2020-04-02,1235.0,932.0,43.0,16.0
Florida,2020-04-03,1260.0,1010.0,26.0,18.0
Florida,2020-04-04,1277.0,1072.0,25.0,20.0
Florida,2020-04-05,805.0,1058.0,26.0,23.0
Florida,2020-04-06,1279.0,1132.0,33.0,26.0
Florida,2020-04-07,1118.0,1143.0,42.0,30.0
Florida,2020-04-08,951.0,1133.0,27.0,32.0
Florida,2020-04-09,1128.0,1116.0,48.0,32.0
Florida,2020-04-10,1142.0,1100.0,48.0,36.0
Florida,2020-04-11,1018.0,1063.0,27.0,36.0
Florida,2020-04-12,909.0,1078.0,15.0,34.0
Florida,2020-04-13,1124.0,1056.0,38.0,35.0
Florida,2020-04-14,609.0,983.0,72.0,39.0
Florida,2020-04-15,891.0,974.0,43.0,42.0
Florida,2020-04-16,821.0,931.0,54.0,42.0
Florida,2020-04-17,1413.0,969.0,58.0,44.0
Florida,2020-04-18,739.0,930.0,22.0,43.0
Florida,2020-04-19,822.0,917.0,26.0,45.0
Florida,2020-04-20,744.0,862.0,49.0,46.0
Florida,2020-04-21,811.0,892.0,44.0,43.0
Florida,2020-04-22,707.0,865.0,60.0,44.0
Florida,2020-04-23,1072.0,901.0,60.0,46.0
Florida,2020-04-24,885.0,826.0,59.0,46.0
Florida,2020-04-25,306.0,764.0,9.0,44.0
Florida,2020-04-26,689.0,745.0,19.0,42.0
Florida,2020-04-27,610.0,726.0,14.0,38.0
Florida,2020-04-28,708.0,711.0,83.0,44.0
Florida,2020-04-29,347.0,659.0,47.0,41.0
Florida,2020-04-30,497.0,578.0,50.0,40.0
Florida,2020-05-01,1038.0,599.0,46.0,39.0
Florida,2020-05-02,735.0,660.0,50.0,44.0
Florida,2020-05-03,615.0,650.0,15.0,43.0
Florida,2020-05-04,819.0,680.0,20.0,45.0
Florida,2020-05-05,542.0,656.0,72.0,43.0
Florida,2020-05-06,563.0,687.0,68.0,46.0
Florida,2020-05-07,826.0,734.0,61.0,47.0
Florida,2020-05-08,371.0,639.0,69.0,51.0
Florida,2020-05-09,802.0,648.0,47.0,50.0
Florida,2020-05-10,595.0,646.0,5.0,49.0
Florida,2020-05-11,386.0,583.0,14.0,48.0
Florida,2020-05-12,941.0,641.0,47.0,44.0
Florida,2020-05-13,479.0,629.0,47.0,42.0
Florida,2020-05-14,808.0,626.0,47.0,39.0
Florida,2020-05-15,928.0,705.0,42.0,36.0
Florida,2020-05-16,673.0,687.0,47.0,35.0
Florida,2020-05-17,777.0,713.0,8.0,36.0
Florida,2020-05-18,854.0,780.0,24.0,38.0
Florida,2020-05-19,502.0,718.0,55.0,38.0
Florida,2020-05-20,527.0,724.0,44.0,38.0
Florida,2020-05-21,1204.0,781.0,49.0,39.0
Florida,2020-05-22,776.0,759.0,45.0,39.0
Florida,2020-05-23,676.0,759.0,43.0,38.0
Florida,2020-05-24,740.0,754.0,4.0,38.0
Florida,2020-05-25,879.0,758.0,15.0,36.0
Florida,2020-05-26,509.0,759.0,7.0,30.0
Florida,2020-05-27,379.0,737.0,61.0,32.0
Florida,2020-05-28,651.0,659.0,44.0,31.0
Florida,2020-05-29,1212.0,721.0,49.0,32.0
Florida,2020-05-30,927.0,756.0,34.0,30.0
Florida,2020-05-31,739.0,757.0,5.0,31.0
Florida,2020-06-01,667.0,726.0,9.0,30.0
Florida,2020-06-02,617.0,742.0,70.0,39.0
Florida,2020-06-03,1317.0,876.0,36.0,35.0
Florida,2020-06-04,1419.0,985.0,43.0,35.0
Florida,2020-06-05,1305.0,999.0,50.0,36.0
Florida,2020-06-06,1270.0,1047.0,31.0,34.0
Florida,2020-06-07,1180.0,1111.0,12.0,36.0
Florida,2020-06-08,966.0,1154.0,12.0,37.0
Florida,2020-06-09,1096.0,1221.0,54.0,34.0
Florida,2020-06-10,1371.0,1230.0,34.0,33.0
Florida,2020-06-11,1698.0,1269.0,48.0,35.0
Florida,2020-06-12,1902.0,1355.0,30.0,31.0
Florida,2020-06-13,2625.0,1548.0,47.0,34.0
Florida,2020-06-14,1972.0,1662.0,6.0,33.0
Florida,2020-06-15,1758.0,1774.0,7.0,32.0
Florida,2020-06-16,2783.0,2016.0,55.0,33.0
Florida,2020-06-17,2610.0,2193.0,25.0,31.0
Florida,2020-06-18,3207.0,2408.0,43.0,30.0
Florida,2020-06-19,3822.0,2682.0,43.0,33.0
Florida,2020-06-20,4049.0,2886.0,40.0,31.0
Florida,2020-06-21,3494.0,3103.0,17.0,33.0
Florida,2020-06-22,2926.0,3270.0,12.0,33.0
Florida,2020-06-23,3286.0,3342.0,64.0,35.0
Florida,2020-06-24,5511.0,3757.0,45.0,38.0
Florida,2020-06-25,5004.0,4013.0,44.0,38.0
Florida,2020-06-26,8942.0,4745.0,37.0,37.0
Florida,2020-06-27,9585.0,5535.0,26.0,35.0
Florida,2020-06-28,8530.0,6255.0,27.0,36.0
Florida,2020-06-29,5266.0,6589.0,28.0,39.0
Florida,2020-06-30,6093.0,6990.0,58.0,38.0
Florida,2020-07-01,6563.0,7141.0,49.0,38.0
Florida,2020-07-02,10109.0,7869.0,64.0,42.0
Florida,2020-07-03,9488.0,7948.0,68.0,45.0
Florida,2020-07-04,11458.0,8215.0,17.0,45.0
Florida,2020-07-05,10059.0,8434.0,29.0,44.0
Florida,2020-07-06,6336.0,8587.0,46.0,48.0
Florida,2020-07-07,7347.0,8765.0,63.0,48.0
Florida,2020-07-08,9989.0,9255.0,49.0,48.0
Florida,2020-07-09,8935.0,9088.0,119.0,56.0
Florida,2020-07-10,11433.0,9365.0,93.0,59.0
Florida,2020-07-11,10360.0,9209.0,95.0,71.0
Florida,2020-07-12,15300.0,9957.0,45.0,72.0
Florida,2020-07-13,12624.0,10855.0,35.0,72.0
Florida,2020-07-14,9194.0,11119.0,132.0,81.0
Florida,2020-07-15,10181.0,11147.0,112.0,90.0
Florida,2020-07-16,13965.0,11865.0,156.0,95.0
Florida,2020-07-17,11466.0,11870.0,128.0,101.0
Florida,2020-07-18,10328.0,11866.0,93.0,100.0
Florida,2020-07-19,12478.0,11462.0,87.0,106.0
Florida,2020-07-20,10347.0,11137.0,90.0,114.0
Florida,2020-07-21,9440.0,11172.0,132.0,114.0
Florida,2020-07-22,9785.0,11116.0,140.0,118.0
Florida,2020-07-23,10249.0,10585.0,173.0,121.0
